Sn,County,Doctor,Nurse/midwife/clinical officer,Community health worker/fieldworker,Traditional birth attendant,No ANC,Total,Percentage receiving antenatal care from a skilled provider,Number of women
1,Mombasa,68.5,30.9,0,0,0.6,100,99.4,170
2,Kwale,26.9,72.4,0,0,0.7,100,99.3,113
3,Kilifi,34,65.3,0,0,0.7,100,99.3,188
4,Tana River,5.6,89.7,0.6,0.7,3.4,100,95.3,55
5,Lamu,38.3,59.6,0,0,2.1,100,97.9,27
6,Taita/Taveta,21.9,78.1,0,0,0,100,100,52
7,Garissa,6,71.5,0.4,1.9,20.2,100,77.5,85
8,Wajir,3.3,80.8,0,0,16,100,84,52
9,Mandera,49.9,26.5,0,0.9,22.6,100,76.4,89
10,Marsabit,37.4,56.4,1.2,0,5,100,93.8,53
11,Isiolo,53.2,46,0,0,0.7,100,99.3,36
12,Meru,72.4,26.9,0,0,0.8,100,99.2,206
13,Tharaka-Nithi,69.4,28.6,0,0,2,100,98,49
14,Embu,37.6,62.4,0,0,0,100,100,64
15,Kitui,69.6,24.4,0,0,5.9,100,94.1,142
16,Machakos,42.6,55.4,0,0,2,100,98,154
17,Makueni,12.5,86.5,0,0,0.9,100,99.1,121
18,Nyandarua,49.5,48.8,0,0,1.7,100,98.3,82
19,Nyeri,64.1,33.2,0,0,2.7,100,97.3,85
20,Kirinyaga,74.9,25.1,0,0,0,100,100,81
21,Murang’a,70.4,29.6,0,0,0,100,100,134
22,Kiambu,51.9,46.5,0,0,1.6,100,98.4,412
23,Turkana,8.4,91.1,0,0,0.5,100,99.5,126
24,West Pokot,53.6,44.2,0,0,2.1,100,97.9,174
25,Samburu,3.8,89.1,0,0,7.1,100,92.9,59
26,Trans Nzoia,41.6,57.2,0,0,1.2,100,98.8,135
27,Uasin Gishu,41.9,56.9,0,0,1.1,100,98.9,210
28,Elgeyo/Marakwet,15.1,84.2,0,0,0.7,100,99.3,67
29,Nandi,62.6,35.1,0,0,2.4,100,97.6,116
30,Baringo,34.4,65,0,0,0.7,100,99.3,99
31,Laikipia,57.1,41.8,0,0,1,100,99,64
32,Nakuru,55.7,42,0,0,2.3,100,97.7,334
33,Narok,23.4,73.1,0,0.5,3,100,96.5,235
34,Kajiado,54.5,45.5,0,0,0,100,100,204
35,Kericho,27.7,68,0,0,4.3,100,95.7,141
36,Bomet,47.7,48.9,0,0,3.4,100,96.6,128
37,Kakamega,58.3,41.7,0,0,0,100,100,287
38,Vihiga,21,78.1,0,0,0.9,100,99.1,63
39,Bungoma,56.3,42.3,0,0,1.4,100,98.6,228
40,Busia,23.7,75.7,0,0,0.6,100,99.4,139
41,Siaya,20.4,78.7,0,0,0.9,100,99.1,119
42,Kisumu,30.2,67.8,0,0.6,1.4,100,98,172
43,Homa Bay,46.6,48.6,3.1,0,1.8,100,95.1,152
44,Migori,60,40,0,0,0,100,100,182
45,Kisii,15.3,83.2,0,0,1.5,100,98.5,164
46,Nyamira,37,63,0,0,0,100,100,55
47,Nairobi City,66.2,33.8,0,0,0,100,100,746
48,Total,46.3,51.6,0.1,0.1,2,100,97.9,"6,847"
