County,ANC_4plus_visits,No_ANC,First_visit_under4months
Mombasa,65.3,0.6,21.5
Kwale,48.5,0.7,24.2
Kilifi,77.3,0.7,30.9
Tana River,61.2,3.4,17.1
Lamu,47.1,2.1,21.9
Taita/Taveta,64.9,0.0,33.4
Garissa,45.3,20.2,32.8
Wajir,44.9,16.5,11.9
Mandera,40.2,22.6,6.2
Marsabit,67.1,5.0,5.2
Isiolo,52.9,0.7,32.1
Meru,55.6,0.8,62.8
Tharaka-Nithi,63.2,2.0,24.7
Embu,62.0,0.0,23.7
Kitui,68.2,5.9,34.9
Machakos,76.9,1.4,52.4
Makueni,75.7,0.9,38.5
Nyandarua,60.6,1.7,28.7
Nyeri,82.2,2.7,49.1
Kirinyaga,67.0,0.0,37.9
Murang'a,70.1,0.0,36.2
Kiambu,66.8,1.6,26.3
Turkana,57.5,0.5,25.8
West Pokot,35.0,2.1,8.7
Samburu,28.5,4.2,14.6
Trans Nzoia,68.1,1.2,30.5
Uasin Gishu,71.9,1.1,30.5
Elgeyo/Marakwet,57.0,2.9,14.0
Nandi,62.1,2.4,15.6
Baringo,55.1,5.4,18.2
Laikipia,65.0,1.0,24.4
Nakuru,73.4,2.3,31.2
Narok,55.3,3.0,19.8
Kajiado,81.2,0.0,33.5
Kericho,58.6,4.3,23.1
Bomet,53.3,3.4,18.0
Kakamega,73.3,0.0,33.5
Vihiga,79.4,0.9,54.1
Bungoma,69.4,1.0,27.4
Busia,70.7,0.6,29.8
Siaya,65.1,0.9,32.7
Kisumu,63.3,1.4,31.3
Homa Bay,60.1,1.8,18.2
Migori,57.1,3.8,25.3
Kisii,62.7,1.5,30.5
Nyamira,62.9,0.3,18.0
Nairobi City,80.5,0.2,38.2
