County,Public_sector,Private_medical_nonNGO,Private_medical_NGO,Faith_based_FBO,Home,Other,Percentage_delivered_in_health_facility,Number_of_births
Mombasa,67.7,26.5,0.0,1.4,4.5,0.0,95.5,187
Kwale,76.9,7.1,0.0,0.0,14.5,1.4,84.1,119
Kilifi,68.7,15.2,0.0,0.7,14.1,1.4,84.5,191
Tana River,49.9,1.2,0.0,0.5,48.2,0.2,51.6,56
Lamu,87.2,3.1,0.0,0.0,9.7,0.0,90.3,29
Taita/Taveta,70.3,22.9,0.0,0.6,6.2,0.0,93.8,54
Garissa,49.3,12.2,0.0,0.0,38.6,0.0,61.4,94
Wajir,47.5,3.6,2.5,0.0,46.4,0.0,53.6,56
Mandera,46.6,3.8,0.0,0.0,49.6,0.0,50.4,95
Marsabit,58.1,1.1,0.0,0.0,40.7,0.0,59.3,54
Isiolo,73.4,10.4,0.0,0.0,16.3,0.0,83.7,37
Meru,63.8,7.8,0.0,20.5,5.9,2.0,92.1,207
Tharaka-Nithi,64.0,10.9,0.0,19.6,3.9,1.7,94.5,50
Embu,57.9,28.5,0.0,8.9,3.5,1.2,95.3,69
Kitui,64.5,11.7,0.0,3.2,19.8,0.8,80.5,145
Machakos,70.0,23.1,0.0,2.3,4.7,0.0,95.3,166
Makueni,75.8,12.2,0.0,2.0,10.0,0.0,90.0,126
Nyandarua,77.1,18.2,0.0,1.8,2.2,0.8,97.1,84
Nyeri,88.8,10.3,0.0,0.0,0.9,0.0,99.1,88
Kirinyaga,70.8,20.7,0.0,5.7,2.7,0.0,97.3,84
Murang'a,78.2,5.8,0.0,12.2,3.8,0.0,96.2,142
Kiambu,59.5,29.7,0.0,8.5,1.8,0.5,97.7,420
Turkana,49.0,1.1,0.5,6.2,42.8,3.4,56.5,298
West Pokot,53.1,2.4,0.0,4.3,39.1,1.2,59.8,177
Samburu,42.1,7.1,0.0,6.3,44.6,0.0,55.4,62
Trans Nzoia,72.3,12.8,0.0,7.8,7.1,0.0,92.9,137
Uasin Gishu,73.4,17.6,0.0,3.2,5.3,0.4,94.3,219
Elgeyo/Marakwet,70.5,6.3,8.6,10.1,4.5,0.0,95.5,69
Nandi,69.8,11.1,0.0,4.7,14.4,0.0,85.6,118
Baringo,49.8,8.5,0.0,21.3,18.6,2.1,79.3,98
Laikipia,76.8,10.3,0.0,3.0,18.6,0.0,90.0,58
Nakuru,75.1,18.4,0.0,0.5,6.0,0.0,94.0,342
Narok,58.4,5.8,0.0,5.2,30.7,0.0,69.3,242
Kajiado,62.3,20.4,0.0,1.9,15.4,0.0,84.6,205
Kericho,73.7,16.0,0.0,1.2,9.1,0.0,90.9,147
Bomet,43.7,12.8,0.0,30.4,12.8,0.3,86.9,137
Kakamega,76.3,13.7,0.0,6.3,3.2,0.4,96.8,298
Vihiga,69.9,21.0,0.0,5.3,2.8,1.0,96.2,67
Bungoma,53.4,25.1,0.8,8.2,11.9,0.0,87.6,243
Busia,78.4,5.3,0.0,0.9,15.3,0.0,84.7,145
Siaya,71.1,13.4,0.0,5.9,9.0,0.6,90.3,125
Kisumu,76.8,17.7,0.0,1.6,3.9,0.0,96.1,177
Homa Bay,58.5,27.6,0.3,5.1,8.1,0.4,91.5,156
Migori,60.3,15.7,0.0,17.5,5.7,0.8,93.8,182
Kisii,60.3,15.7,0.0,17.5,5.7,0.8,93.7,164
Nyamira,71.7,19.7,0.0,2.2,6.3,0.0,93.7,57
Nairobi City,48.2,44.0,1.3,6.0,0.6,0.0,99.4,773
