Rank,County,KCMHI_Score,Tier,ANC_Coverage,Under5_Mortality,Facility_Delivery,ANC_4plus_visits,No_ANC,First_visit_under4months
1,Nairobi City,95.0,🟢 High Performing,100.0,4,99.4,80.5,0.2,38.2
2,Machakos,79.4,🟢 High Performing,98.0,41,95.3,76.9,1.4,52.4
3,Kajiado,78.4,🟢 High Performing,100.0,32,84.6,81.2,0.0,33.5
4,Vihiga,78.1,🟢 High Performing,99.1,51,96.2,79.4,0.9,54.1
5,Nyeri,77.2,🟢 High Performing,97.3,52,99.1,82.2,2.7,49.1
6,Taita/Taveta,77.1,🟢 High Performing,100.0,29,93.8,64.9,0.0,33.4
7,Makueni,76.2,🟢 High Performing,99.1,38,90.0,75.7,0.9,38.5
8,Kakamega,75.7,🟢 High Performing,100.0,45,96.8,73.3,0.0,33.5
9,Uasin Gishu,75.3,🟢 High Performing,98.9,37,94.3,71.9,1.1,30.5
10,Meru,75.0,🟢 High Performing,99.2,35,92.1,55.6,0.8,62.8
11,Tharaka-Nithi,74.5,🔵 Moderate,98.0,25,94.5,63.2,2.0,24.7
12,Murang'a,74.0,🔵 Moderate,100.0,47,96.2,70.1,0.0,36.2
13,Kilifi,72.8,🔵 Moderate,99.3,40,84.5,77.3,0.7,30.9
14,Kiambu,72.5,🔵 Moderate,98.4,40,97.7,66.8,1.6,26.3
15,Trans Nzoia,71.4,🔵 Moderate,98.8,42,92.9,68.1,1.2,30.5
16,Kirinyaga,70.3,🔵 Moderate,100.0,56,97.3,67.0,0.0,37.9
17,Kisii,70.1,🔵 Moderate,98.5,40,93.7,62.7,1.5,30.5
19,Nakuru,69.5,🔵 Moderate,97.7,51,94.0,73.4,2.3,31.2
19,Kisumu,69.5,🔵 Moderate,98.0,45,96.1,63.3,1.4,31.3
19,Embu,69.5,🔵 Moderate,100.0,44,95.3,62.0,0.0,23.7
21,Nyamira,68.7,🔵 Moderate,100.0,42,93.7,62.9,0.3,18.0
22,Nyandarua,68.4,🔵 Moderate,98.3,45,97.1,60.6,1.7,28.7
23,Elgeyo/Marakwet,67.8,🔵 Moderate,99.3,33,95.5,57.0,2.9,14.0
24,Mombasa,67.6,🔵 Moderate,99.4,50,95.5,65.3,0.6,21.5
25,Kitui,67.5,🔵 Moderate,94.1,27,80.5,68.2,5.9,34.9
26,Kericho,66.4,🔵 Moderate,95.7,31,90.9,58.6,4.3,23.1
27,Isiolo,66.1,🔵 Moderate,99.3,33,83.7,52.9,0.7,32.1
28,Busia,65.6,🔵 Moderate,99.4,53,84.7,70.7,0.6,29.8
29,Laikipia,65.3,🔵 Moderate,99.0,50,90.0,65.0,1.0,24.4
30,Bungoma,64.5,🔵 Moderate,98.6,55,87.6,69.4,1.0,27.4
31,Kwale,64.3,🔵 Moderate,99.3,30,84.1,48.5,0.7,24.2
32,Bomet,64.0,🔵 Moderate,96.6,28,86.9,53.3,3.4,18.0
33,Nandi,63.4,🔵 Moderate,97.6,39,85.6,62.1,2.4,15.6
34,Siaya,62.3,🔵 Moderate,99.1,63,90.3,65.1,0.9,32.7
35,Narok,58.8,🔵 Moderate,96.5,26,69.3,55.3,3.0,19.8
36,Marsabit,58.1,🔵 Moderate,93.8,15,59.3,67.1,5.0,5.2
37,Lamu,57.2,🔵 Moderate,97.9,50,90.3,47.1,2.1,21.9
38,Homa Bay,56.9,🔵 Moderate,95.1,61,91.5,60.1,1.8,18.2
39,Migori,54.3,🔵 Moderate,100.0,73,93.8,57.1,3.8,25.3
40,Baringo,51.6,🔵 Moderate,99.3,55,79.3,55.1,5.4,18.2
41,Turkana,47.8,🟡 At Risk,99.5,55,56.5,57.5,0.5,25.8
42,Tana River,45.6,🟡 At Risk,95.3,45,51.6,61.2,3.4,17.1
43,West Pokot,39.4,🟡 At Risk,97.9,46,59.8,35.0,2.1,8.7
44,Samburu,35.6,🟡 At Risk,92.9,38,55.4,28.5,4.2,14.6
45,Garissa,28.1,🟡 At Risk,77.5,44,61.4,45.3,20.2,32.8
46,Mandera,23.4,🔴 Critical,76.4,21,50.4,40.2,22.6,6.2
47,Wajir,21.6,🔴 Critical,84.0,57,53.6,44.9,16.5,11.9
