County,ANC_Coverage,Under5_Mortality,ANC_4plus_visits,No_ANC,First_visit_under4months,Facility_Delivery
Mombasa,99.4,50,65.3,0.6,21.5,95.5
Kwale,99.3,30,48.5,0.7,24.2,84.1
Kilifi,99.3,40,77.3,0.7,30.9,84.5
Tana River,95.3,45,61.2,3.4,17.1,51.6
Lamu,97.9,50,47.1,2.1,21.9,90.3
Taita/Taveta,100.0,29,64.9,0.0,33.4,93.8
Garissa,77.5,44,45.3,20.2,32.8,61.4
Wajir,84.0,57,44.9,16.5,11.9,53.6
Mandera,76.4,21,40.2,22.6,6.2,50.4
Marsabit,93.8,15,67.1,5.0,5.2,59.3
Isiolo,99.3,33,52.9,0.7,32.1,83.7
Meru,99.2,35,55.6,0.8,62.8,92.1
Tharaka-Nithi,98.0,25,63.2,2.0,24.7,94.5
Embu,100.0,44,62.0,0.0,23.7,95.3
Kitui,94.1,27,68.2,5.9,34.9,80.5
Machakos,98.0,41,76.9,1.4,52.4,95.3
Makueni,99.1,38,75.7,0.9,38.5,90.0
Nyandarua,98.3,45,60.6,1.7,28.7,97.1
Nyeri,97.3,52,82.2,2.7,49.1,99.1
Kirinyaga,100.0,56,67.0,0.0,37.9,97.3
Murang'a,100.0,47,70.1,0.0,36.2,96.2
Kiambu,98.4,40,66.8,1.6,26.3,97.7
Turkana,99.5,55,57.5,0.5,25.8,56.5
West Pokot,97.9,46,35.0,2.1,8.7,59.8
Samburu,92.9,38,28.5,4.2,14.6,55.4
Trans Nzoia,98.8,42,68.1,1.2,30.5,92.9
Uasin Gishu,98.9,37,71.9,1.1,30.5,94.3
Elgeyo/Marakwet,99.3,33,57.0,2.9,14.0,95.5
Nandi,97.6,39,62.1,2.4,15.6,85.6
Baringo,99.3,55,55.1,5.4,18.2,79.3
Laikipia,99.0,50,65.0,1.0,24.4,90.0
Nakuru,97.7,51,73.4,2.3,31.2,94.0
Narok,96.5,26,55.3,3.0,19.8,69.3
Kajiado,100.0,32,81.2,0.0,33.5,84.6
Kericho,95.7,31,58.6,4.3,23.1,90.9
Bomet,96.6,28,53.3,3.4,18.0,86.9
Kakamega,100.0,45,73.3,0.0,33.5,96.8
Vihiga,99.1,51,79.4,0.9,54.1,96.2
Bungoma,98.6,55,69.4,1.0,27.4,87.6
Busia,99.4,53,70.7,0.6,29.8,84.7
Siaya,99.1,63,65.1,0.9,32.7,90.3
Kisumu,98.0,45,63.3,1.4,31.3,96.1
Homa Bay,95.1,61,60.1,1.8,18.2,91.5
Migori,100.0,73,57.1,3.8,25.3,93.8
Kisii,98.5,40,62.7,1.5,30.5,93.7
Nyamira,100.0,42,62.9,0.3,18.0,93.7
Nairobi City,100.0,4,80.5,0.2,38.2,99.4
